seq,rand,correct_solution,testee_solution,correct
40,2712088082004207300,8602428126494713291,8602428126494713291,true
41,7842116060966227152,8602428126494713291,8602428126494713291,true
42,-6625182502796403814,8602428126494713291,8602428126494713291,true
43,1137981261772953696,8602428126494713291,8602428126494713291,true
44,-7131144585050425803,8602428126494713291,8602428126494713291,true
45,6694413504551906822,8602428126494713291,8602428126494713291,true
46,-6734542346114885521,8602428126494713291,8602428126494713291,true
47,-7253996014806064746,8602428126494713291,8602428126494713291,true
48,1978182679694426919,8602428126494713291,8602428126494713291,true
49,8219660402212819162,8602428126494713291,8602428126494713291,true
50,-5999797887307617814,8602428126494713291,8602428126494713291,true
51,-2705643548918783415,8602428126494713291,8602428126494713291,true
52,-6093953350304157760,8602428126494713291,8602428126494713291,true
53,4607531703941775168,8602428126494713291,8602428126494713291,true
54,-1675616001200171035,8602428126494713291,8602428126494713291,true
55,-7075838620658570083,8602428126494713291,8602428126494713291,true
56,-5419930055555005631,8602428126494713291,8602428126494713291,true
57,1907115546391949956,8602428126494713291,8602428126494713291,true
58,-9087387453147665217,8602428126494713291,8602428126494713291,true
59,-2438576759164935310,8602428126494713291,8602428126494713291,true
60,1341393203482907196,8602428126494713291,8602428126494713291,true
61,8256136709851627633,8602428126494713291,8602428126494713291,true
62,-5557257918057490913,8602428126494713291,8602428126494713291,true
63,-910082412756507700,8602428126494713291,8602428126494713291,true
64,2968178848885227898,8602428126494713291,8602428126494713291,true
65,-1888621116261135941,8602428126494713291,8602428126494713291,true
66,2649606245078346363,8602428126494713291,8602428126494713291,true
67,4860185400926097467,8602428126494713291,8602428126494713291,true
68,4767358087411601511,8602428126494713291,8602428126494713291,true
69,1191335243011966964,8602428126494713291,8602428126494713291,true
70,7393238297023408677,8602428126494713291,8602428126494713291,true
71,3961887853452972842,8602428126494713291,8602428126494713291,true
72,2877330041808500769,8602428126494713291,8602428126494713291,true
73,-7541837312756519205,8602428126494713291,8602428126494713291,true
74,-8815006222255041114,8602428126494713291,8602428126494713291,true
75,-2019823418538427902,8602428126494713291,8602428126494713291,true
76,8913703147317145994,8913703147317145994,8913703147317145994,true
77,6575173878039609893,8913703147317145994,8913703147317145994,true
78,8200820136421899119,8913703147317145994,8913703147317145994,true
79,9040396989329610267,9040396989329610267,9040396989329610267,true
80,1809261712542833354,9040396989329610267,9040396989329610267,true
81,8012366784409268949,9040396989329610267,9040396989329610267,true
82,-8210800465169456801,9040396989329610267,9040396989329610267,true
83,-7470181069010757884,9040396989329610267,9040396989329610267,true
84,176268487917516929,9040396989329610267,9040396989329610267,true
85,8887736088211331102,9040396989329610267,9040396989329610267,true
86,-4201626275169633501,9040396989329610267,9040396989329610267,true
87,6519481153379147121,9040396989329610267,9040396989329610267,true
88,3137349829061435364,9040396989329610267,9040396989329610267,true
89,-3542799102662380164,9040396989329610267,9040396989329610267,true
90,-7748804969729838983,9040396989329610267,9040396989329610267,true
91,-1515649273295280645,9040396989329610267,9040396989329610267,true
92,-5203786003547839137,9040396989329610267,9040396989329610267,true
93,8220988211450276454,9040396989329610267,9040396989329610267,true
94,8345006529028734165,9040396989329610267,9040396989329610267,true
95,2377978594191842879,9040396989329610267,9040396989329610267,true
96,-2859190843373734811,9040396989329610267,9040396989329610267,true
97,1163816101721454910,9040396989329610267,9040396989329610267,true
98,2163362290191136718,9040396989329610267,9040396989329610267,true
99,-4414574945990823443,9040396989329610267,9040396989329610267,true
100,8123655171507639054,9040396989329610267,9040396989329610267,true
101,-3530851472696166006,9040396989329610267,9040396989329610267,true
102,-6650547900989075261,9040396989329610267,9040396989329610267,true
103,-2411738925529251056,9040396989329610267,9040396989329610267,true
104,-5309814541040411533,9040396989329610267,9040396989329610267,true
105,7125776150200317961,9040396989329610267,9040396989329610267,true
106,5370833173182421936,9040396989329610267,9040396989329610267,true
107,-7896060048827919539,9040396989329610267,9040396989329610267,true
108,-342574799720307365,9040396989329610267,9040396989329610267,true
109,3684200332059961272,9040396989329610267,9040396989329610267,true
110,4062787717670332713,9040396989329610267,9040396989329610267,true
111,-5357946499629917387,9040396989329610267,9040396989329610267,true
112,8670657907270043180,9040396989329610267,9040396989329610267,true
113,-1250229344061729004,9040396989329610267,9040396989329610267,true
114,3974295911263890283,9040396989329610267,9040396989329610267,true
115,886862031760788042,9040396989329610267,9040396989329610267,true
116,-1867850842217257407,9040396989329610267,9040396989329610267,true
117,1716803996780519093,9040396989329610267,9040396989329610267,true
118,-3076856461512162040,9040396989329610267,9040396989329610267,true
119,7367922477858320680,9040396989329610267,9040396989329610267,true
120,1293995598480004865,9040396989329610267,9040396989329610267,true
121,1684168260538524481,9040396989329610267,9040396989329610267,true
122,8172979443316450385,9040396989329610267,9040396989329610267,true
123,-5063993204349658458,9040396989329610267,9040396989329610267,true
124,-5685553907982515551,9040396989329610267,9040396989329610267,true
125,6597669806459868368,9040396989329610267,9040396989329610267,true
126,4753409712242170776,9040396989329610267,9040396989329610267,true
127,8167056494042734408,9040396989329610267,9040396989329610267,true
128,7291498175348442091,9040396989329610267,9040396989329610267,true
129,-7911602542792033065,9040396989329610267,9040396989329610267,true
130,8979657406376070600,9040396989329610267,9040396989329610267,true
131,-2195145438743941384,9040396989329610267,9040396989329610267,true
132,-5314007428211491781,9040396989329610267,9040396989329610267,true
133,-1599928572517393529,9040396989329610267,9040396989329610267,true
134,5584574196745936763,9040396989329610267,9040396989329610267,true
135,8318402840346659774,9040396989329610267,9040396989329610267,true
136,411392999037199247,9040396989329610267,9040396989329610267,true
137,-4247347122384235894,9040396989329610267,9040396989329610267,true
138,-1791781413708559731,9040396989329610267,9040396989329610267,true
139,-1740780889799405437,9040396989329610267,9040396989329610267,true
140,6849936487197047778,9040396989329610267,9040396989329610267,true
141,1681110606088236226,9040396989329610267,9040396989329610267,true
142,8575895878450494398,9040396989329610267,9040396989329610267,true
143,457210844690122026,9040396989329610267,9040396989329610267,true
144,9122066015590921805,9122066015590921805,9122066015590921805,true
145,4779195103740244906,9122066015590921805,9122066015590921805,true
146,-1088628768002008372,9122066015590921805,9122066015590921805,true
147,-1066625126744228875,9122066015590921805,9122066015590921805,true
148,-318843898868460841,9122066015590921805,9122066015590921805,true
149,-3753091490845920011,9122066015590921805,9122066015590921805,true
150,-7148623444594043139,9122066015590921805,9122066015590921805,true
151,8939109225805054198,9122066015590921805,9122066015590921805,true
152,-6940302041950275918,9122066015590921805,9122066015590921805,true
153,-2800529692183790394,9122066015590921805,9122066015590921805,true
154,2706383087414838101,9122066015590921805,9122066015590921805,true
155,-6620873358421487880,9122066015590921805,9122066015590921805,true
156,-8688716350304249064,9122066015590921805,9122066015590921805,true
157,-7637730083739179784,9122066015590921805,9122066015590921805,true
158,-9017374997008468146,9122066015590921805,9122066015590921805,true
159,-2549174313877905585,9122066015590921805,9122066015590921805,true
160,-7983328412090880548,9122066015590921805,9122066015590921805,true
161,4333094479673471857,9122066015590921805,9122066015590921805,true
162,-3925992348099358697,9122066015590921805,9122066015590921805,true
163,-789101263392723149,9122066015590921805,9122066015590921805,true
164,-8280536586963091264,9122066015590921805,9122066015590921805,true
165,-6281208814277475195,9122066015590921805,9122066015590921805,true
166,4556629894196581842,9122066015590921805,9122066015590921805,true
167,-3444237529160439598,9122066015590921805,9122066015590921805,true
168,-2593661260321124974,9122066015590921805,9122066015590921805,true
169,-5288298540705557920,9122066015590921805,9122066015590921805,true
170,100379117074294456,9122066015590921805,9122066015590921805,true
171,2647269473140291188,9122066015590921805,9122066015590921805,true
172,-7221144020664701565,9122066015590921805,9122066015590921805,true
173,-3703583797071699393,9122066015590921805,9122066015590921805,true
174,1630367813746984200,9122066015590921805,9122066015590921805,true
175,-3571700867588905067,9122066015590921805,9122066015590921805,true
176,-2282172401007410066,9122066015590921805,9122066015590921805,true
177,5655161109459315886,9122066015590921805,9122066015590921805,true
178,-1610818952284506803,9122066015590921805,9122066015590921805,true
179,-5125895898858640456,9122066015590921805,9122066015590921805,true
180,-4422964669802555479,9122066015590921805,9122066015590921805,true
181,-7519432829142141667,9122066015590921805,9122066015590921805,true
182,-8944855126789861581,9122066015590921805,9122066015590921805,true
183,4818544251983088716,9122066015590921805,9122066015590921805,true
184,-2740226041255240043,9122066015590921805,9122066015590921805,true
185,7570134962233734477,9122066015590921805,9122066015590921805,true
186,6214981477883465094,9122066015590921805,9122066015590921805,true
187,5909378403257642579,9122066015590921805,9122066015590921805,true
188,-1363978755982043801,9122066015590921805,9122066015590921805,true
189,4589238960200488212,9122066015590921805,9122066015590921805,true
190,-6408782898569581082,9122066015590921805,9122066015590921805,true
191,7027023021572885942,9122066015590921805,9122066015590921805,true
192,2056324039656211986,9122066015590921805,9122066015590921805,true
193,-5721414906351130677,9122066015590921805,9122066015590921805,true
194,-1630367438144630177,9122066015590921805,9122066015590921805,true
195,3964196985796221749,9122066015590921805,9122066015590921805,true
196,5522211516611039173,9122066015590921805,9122066015590921805,true
197,2030322023382911593,9122066015590921805,9122066015590921805,true
198,-610228630003653828,9122066015590921805,9122066015590921805,true
199,3302701279625628270,9122066015590921805,9122066015590921805,true
200,9023254829127527896,9122066015590921805,9122066015590921805,true
201,4892042139835450560,9122066015590921805,9122066015590921805,true
202,6053220682281550793,9122066015590921805,9122066015590921805,true
203,-1625701387653491389,9122066015590921805,9122066015590921805,true
204,-8957031455617174523,9122066015590921805,9122066015590921805,true
205,8501638942734458495,9122066015590921805,9122066015590921805,true
206,-2245154456040830415,9122066015590921805,9122066015590921805,true
207,-739821678107686448,9122066015590921805,9122066015590921805,true
208,1559887018209316008,9122066015590921805,9122066015590921805,true
209,-9218471422079403245,9122066015590921805,9122066015590921805,true
210,-7557046296852480626,9122066015590921805,9122066015590921805,true
211,32738030855671979,9122066015590921805,9122066015590921805,true
212,-672082687382978692,9122066015590921805,9122066015590921805,true
213,-6160041248058387743,9122066015590921805,9122066015590921805,true
214,868712598828330268,9122066015590921805,9122066015590921805,true
215,5234526871824297695,9122066015590921805,9122066015590921805,true
216,-3805848352397618227,9122066015590921805,9122066015590921805,true
217,-6957134401216838065,9122066015590921805,9122066015590921805,true
218,449526182753993469,9122066015590921805,9122066015590921805,true
219,6925368406144203192,9122066015590921805,9122066015590921805,true
220,-6799704222930580206,9122066015590921805,9122066015590921805,true
221,5258736113763225620,9122066015590921805,9122066015590921805,true
222,-3601756783517413743,9122066015590921805,9122066015590921805,true
223,-6302330812928007941,9122066015590921805,9122066015590921805,true
224,1098435792030299489,9122066015590921805,9122066015590921805,true
225,-1119286368559658802,9122066015590921805,9122066015590921805,true
226,-3603961490622576923,9122066015590921805,9122066015590921805,true
227,-4244643827180139526,9122066015590921805,9122066015590921805,true
228,-8976380453960186327,9122066015590921805,9122066015590921805,true
229,-6225360229883681042,9122066015590921805,9122066015590921805,true
230,5253007606682139348,9122066015590921805,9122066015590921805,true
231,-2601069221710146297,9122066015590921805,9122066015590921805,true
232,-4178206454413902065,9122066015590921805,9122066015590921805,true
233,-6780109422800948104,9122066015590921805,9122066015590921805,true
234,-6475477207686695580,9122066015590921805,9122066015590921805,true
235,-1572331649772068639,9122066015590921805,9122066015590921805,true
236,4496115350967951995,9122066015590921805,9122066015590921805,true
237,772843160293510307,9122066015590921805,9122066015590921805,true
238,4374678644662164184,9122066015590921805,9122066015590921805,true
239,4929528155189158537,9122066015590921805,9122066015590921805,true
240,1300810611802940735,9122066015590921805,9122066015590921805,true
241,-8659519542546897998,9122066015590921805,9122066015590921805,true
242,-3323928910581736388,9122066015590921805,9122066015590921805,true
243,-1654521082881316680,9122066015590921805,9122066015590921805,true
244,-8933989808530515960,9023254829127527896,9023254829127527896,true
245,700598043052620948,9023254829127527896,9023254829127527896,true
246,3895193223274057435,9023254829127527896,9023254829127527896,true
247,-8335442140599896568,9023254829127527896,9023254829127527896,true
248,-8654883853149555121,9023254829127527896,9023254829127527896,true
249,-7201965788329566345,9023254829127527896,9023254829127527896,true
250,-660518236337056046,9023254829127527896,9023254829127527896,true
251,-435500896885544336,9023254829127527896,9023254829127527896,true
252,-4588377461578732283,9023254829127527896,9023254829127527896,true
253,-4557411736572914002,9023254829127527896,9023254829127527896,true
254,2872194205186048441,9023254829127527896,9023254829127527896,true
255,-1146143494102427338,9023254829127527896,9023254829127527896,true
256,-6294364805133957205,9023254829127527896,9023254829127527896,true
257,-2452315420305502138,9023254829127527896,9023254829127527896,true
258,6515213506436577640,9023254829127527896,9023254829127527896,true
259,-7419589269539157357,9023254829127527896,9023254829127527896,true
260,7307241370753872735,9023254829127527896,9023254829127527896,true
261,-5056760698937757886,9023254829127527896,9023254829127527896,true
262,2948766425024871682,9023254829127527896,9023254829127527896,true
263,-3976445934806225446,9023254829127527896,9023254829127527896,true
264,-7204809756093433058,9023254829127527896,9023254829127527896,true
265,-983387520822432437,9023254829127527896,9023254829127527896,true
266,1503176659408242219,9023254829127527896,9023254829127527896,true
267,-6145490953262500570,9023254829127527896,9023254829127527896,true
268,6532075615131573793,9023254829127527896,9023254829127527896,true
269,1457471195020114237,9023254829127527896,9023254829127527896,true
270,5383319615252146638,9023254829127527896,9023254829127527896,true
271,-8887847267503857215,9023254829127527896,9023254829127527896,true
272,926661403845568755,9023254829127527896,9023254829127527896,true
273,875087014565397986,9023254829127527896,9023254829127527896,true
274,-1896506292489987490,9023254829127527896,9023254829127527896,true
275,-5111959733720800079,9023254829127527896,9023254829127527896,true
276,-3818826701245463644,9023254829127527896,9023254829127527896,true
277,4048094769017914664,9023254829127527896,9023254829127527896,true
278,-6982118924160222556,9023254829127527896,9023254829127527896,true
279,-1697762626233427065,9023254829127527896,9023254829127527896,true
280,1404057943860458652,9023254829127527896,9023254829127527896,true
281,-1997663028454752665,9023254829127527896,9023254829127527896,true
282,-2774794868048155985,9023254829127527896,9023254829127527896,true
283,-279692339576400888,9023254829127527896,9023254829127527896,true
284,4713344687400809608,9023254829127527896,9023254829127527896,true
285,-5161783857852055970,9023254829127527896,9023254829127527896,true
286,-2161073817586435788,9023254829127527896,9023254829127527896,true
287,7245317374764640940,9023254829127527896,9023254829127527896,true
288,457600963154989404,9023254829127527896,9023254829127527896,true
289,-6700508528965446980,9023254829127527896,9023254829127527896,true
290,-3928456601791926056,9023254829127527896,9023254829127527896,true
291,-6465378759741392699,9023254829127527896,9023254829127527896,true
292,2732441258641454096,9023254829127527896,9023254829127527896,true
293,-1318262461934670410,9023254829127527896,9023254829127527896,true
294,3183180336018550940,9023254829127527896,9023254829127527896,true
295,-6241851972061186436,9023254829127527896,9023254829127527896,true
296,7486187925915372107,9023254829127527896,9023254829127527896,true
297,1487644772617443267,9023254829127527896,9023254829127527896,true
298,-4709461928362136825,9023254829127527896,9023254829127527896,true
299,8935940971871948024,9023254829127527896,9023254829127527896,true
300,-5769435920411748776,8935940971871948024,8935940971871948024,true
301,-2003500029883139703,8935940971871948024,8935940971871948024,true
302,7264000148649197972,8935940971871948024,8935940971871948024,true
303,-3051847938888310710,8935940971871948024,8935940971871948024,true
304,9007328426228165760,9007328426228165760,9007328426228165760,true
305,7135990366402381833,9007328426228165760,9007328426228165760,true
306,6264606919729893978,9007328426228165760,9007328426228165760,true
307,-9223044323468169746,9007328426228165760,9007328426228165760,true
308,-8215652823496769761,9007328426228165760,9007328426228165760,true
309,-2906002097951159652,9007328426228165760,9007328426228165760,true
310,7359337461095066190,9007328426228165760,9007328426228165760,true
311,1457384123040552018,9007328426228165760,9007328426228165760,true
312,5129536793327849559,9007328426228165760,9007328426228165760,true
313,-2771250244310097327,9007328426228165760,9007328426228165760,true
314,-1953218177451160736,9007328426228165760,9007328426228165760,true
315,-6554891679486821880,9007328426228165760,9007328426228165760,true
316,-8920051207897093227,9007328426228165760,9007328426228165760,true
317,-2150910262726782367,9007328426228165760,9007328426228165760,true
318,-4106788316836982642,9007328426228165760,9007328426228165760,true
319,6901953939588092898,9007328426228165760,9007328426228165760,true
320,-2407947263220966515,9007328426228165760,9007328426228165760,true
321,-7583976536815086362,9007328426228165760,9007328426228165760,true
322,-8111046138729786870,9007328426228165760,9007328426228165760,true
323,-5475790845550568645,9007328426228165760,9007328426228165760,true
324,2932902656897552268,9007328426228165760,9007328426228165760,true
